cate,CoVID-19 severity,CD200,PECAM1,SELL,SELL,SELP,CD22,CD2,CD40LG,PVR,PVR,CD96,CD80,CD86,CD80,CD86,TNF,CD40LG,CD40LG,TNFSF4,CD70,FASLG,TNFSF9,TNFSF14,TNFSF10,TNFSF10,TNFSF13B,TNFSF13B,TNFSF13B,VCAM1,VCAM1,ICAM1,ICAM2,ICAM3,ICAM4,ICAM1,ICAM1,ICAM3,VCAM1,CD274,CD274,ULBP3,SEMA4A,SEMA7A,BST2,CD177,JAM3,CD244,SLAMF1,HLA-E,HLA-E,HLA-F,HLA-F,HLA-F,ALCAM,ICOSLG,CADM1,HLA-G,HLA-G,CSF1,CEACAM1,CEACAM1,CEACAM1,CEACAM1,LAIR1,CEACAM5,CEACAM5,HLA-F,HLA-F,SEMA4D,CD6,F11R,F11R,JAM3,GP1BA,FCER2,FCER2,FCER2,FCER2,THY1,THY1,PECAM1,SPN,SPN,PTPRC,BTLA,KLRG1,CD47,CD47,CD84,SLAMF7,SLAMF6,LY9,SLAMF8,PVR,TIGIT,JAM2,JAM2,CD24,CD34,CD34,CD160,TNFSF13,TNFSF13,TNFSF11,TNF,CADM1,JAG1,CDH1,CD209,L1CAM,L1CAM,L1CAM,NCAM1,CD52,NCAM1,CD44,SELPLG,GLG1,CEACAM1,CEACAM1,CEACAM6,CEACAM6,APP,PLAUR,PLAUR,THY1,PLXNB2,CDH1,DSG2,DSG2,DSG2,APP,ESAM,TNFSF10,TNFSF12,SEMA4C,TNFSF10,FLT3LG,EFNB1,EFNB1,CLEC2D,CLEC2B,APP,SDC1,B2M,ITGB2
B_c01_TCL1A,control,587.0534,398.55624,3234.8247,3234.8247,4.724932,1776.422,21.306643,7.480608,1.0805097,1.0805097,63.95394,6.1569247,90.114235,6.1569247,90.114235,44.40461,7.480608,7.480608,13.808302,4.1446853,5.3809524,5.5674825,5.0400233,187.91124,187.91124,3888.054,3888.054,3888.054,0.0,0.0,44.59065,592.5218,1419.9937,0.0,44.59065,44.59065,1419.9937,0.0,4.810766,4.810766,0.0,83.20291,15.199118,783.9117,0.0,58.237366,9.031415,306.57623,5740.7036,5740.7036,1275.8458,1275.8458,1275.8458,150.0535,161.25122,14.688336,13.927149,13.927149,0.0,27.833023,27.833023,27.833023,27.833023,733.8158,0.78547955,0.78547955,1275.8458,1275.8458,91.24045,133.84245,30.859493,30.859493,58.237366,1.7089691,3588.6094,3588.6094,3588.6094,3588.6094,0.0,0.0,398.55624,43.661526,43.661526,3513.9463,851.9269,40.3214,1829.1592,1829.1592,138.746,12.823376,411.7243,730.8346,0.0,1.0805097,7.3055286,47.20776,47.20776,924.4511,0.0,0.0,20.47811,192.35672,192.35672,0.0,44.40461,14.688336,2.9455278,35.17763,3.7370796,23.733177,23.733177,23.733177,15.285083,7437.619,15.285083,1487.9486,74.14514,647.678,27.833023,27.833023,0.0,0.0,434.60284,24.013754,24.013754,0.0,7.197666,35.17763,0.7692794,0.7692794,0.7692794,434.60284,45.59766,187.91124,31.81553,4.587344,187.91124,200.43465,13.202591,13.202591,1372.0039,768.3104,434.60284,0.0,10536.56,1154.8485
B_c01_TCL1A,mild/moderate,29977.057,14844.599,128410.15,128410.15,127.69955,75779.164,116.48787,25.515781,2.3483315,2.3483315,996.7764,344.45065,4955.554,344.45065,4955.554,3031.3733,25.515781,25.515781,335.29355,809.29333,145.11949,249.74883,226.00114,12762.563,12762.563,135857.98,135857.98,135857.98,0.8047956,0.8047956,1537.2817,25313.25,45216.332,0.0,1537.2817,1537.2817,45216.332,0.8047956,103.87029,103.87029,11.750873,2477.1946,582.72656,37987.61,0.0,1658.69,206.08823,11301.233,230152.2,230152.2,50684.7,50684.7,50684.7,6116.964,7860.966,770.192,835.6977,835.6977,15.551634,1116.1124,1116.1124,1116.1124,1116.1124,28301.002,67.04727,67.04727,50684.7,50684.7,5922.9634,2893.8489,1494.6802,1494.6802,1658.69,146.90327,122012.35,122012.35,122012.35,122012.35,0.0,0.0,14844.599,1427.081,1427.081,139928.16,36707.83,1584.9197,77868.96,77868.96,6659.34,334.2939,20275.049,21342.83,0.79207706,2.3483315,242.29697,2688.9485,2688.9485,50399.203,161.7421,161.7421,535.5439,6197.5005,6197.5005,13.641389,3031.3733,770.192,100.39292,1151.1771,209.13654,665.75226,665.75226,665.75226,789.3927,279997.2,789.3927,55352.566,2628.5745,26374.408,1116.1124,1116.1124,13.541829,13.541829,15033.849,509.69464,509.69464,0.0,113.523415,1151.1771,119.22798,119.22798,119.22798,15033.849,3245.0078,12762.563,2713.0066,273.48892,12762.563,7205.929,413.00665,413.00665,62778.25,28814.182,15033.849,1.2929497,437962.84,37057.46
B_c01_TCL1A,severe/critical,15594.282,5507.765,52242.57,52242.57,69.37089,32362.99,45.69793,9.374873,3.2842534,3.2842534,3602.6462,155.05646,3522.3318,155.05646,3522.3318,512.5014,9.374873,9.374873,130.37825,179.69073,62.14248,55.610413,77.49266,5818.9917,5818.9917,24734.086,24734.086,24734.086,0.0,0.0,467.23413,10762.575,20372.057,0.0,467.23413,467.23413,20372.057,0.0,24.245272,24.245272,5.555394,1263.956,214.54385,14881.852,0.0,695.42377,61.374775,5517.2915,81970.71,81970.71,25895.857,25895.857,25895.857,2309.873,1973.8258,186.36626,477.71716,477.71716,3.816557,455.33322,455.33322,455.33322,455.33322,12610.725,22.67184,22.67184,25895.857,25895.857,2011.7986,1038.3029,492.13998,492.13998,695.42377,42.12668,54312.777,54312.777,54312.777,54312.777,0.0,0.0,5507.765,555.9727,555.9727,52659.78,16303.256,696.72894,24203.502,24203.502,2348.1355,105.77156,8866.288,7136.541,0.0,3.2842534,109.018906,681.49335,681.49335,17245.299,54.896378,54.896378,205.76094,2952.5369,2952.5369,9.834522,512.5014,186.36626,57.66379,439.1455,74.73712,264.89365,264.89365,264.89365,103.839096,109612.78,103.839096,24080.105,1087.3752,10315.109,455.33322,455.33322,2.3298616,2.3298616,5991.5586,188.1483,188.1483,0.0,27.522575,439.1455,42.251526,42.251526,42.251526,5991.5586,1314.5944,5818.9917,771.2238,73.885025,5818.9917,2724.3425,163.23692,163.23692,28297.8,14495.284,5991.5586,1.8831811,146202.81,15402.705
B_c02_CD27,control,53.905563,212.91328,1839.4806,1839.4806,5.5281124,1081.3423,14.281286,0.45913124,0.35043213,0.35043213,94.183525,127.909935,369.9816,127.909935,369.9816,82.573,0.45913124,0.45913124,5.6774306,240.79236,1.156032,66.59486,6.949525,105.94384,105.94384,3544.9683,3544.9683,3544.9683,0.0,0.0,112.779465,352.74896,1442.3047,0.0,112.779465,112.779465,1442.3047,0.0,5.1483464,5.1483464,1.632271,12.66139,114.29067,649.05194,0.0,112.1119,5.122596,153.03831,5445.8105,5445.8105,1552.4395,1552.4395,1552.4395,164.46893,114.44965,23.496319,22.000847,22.000847,0.59304816,24.760881,24.760881,24.760881,24.760881,206.83064,1.1686647,1.1686647,1552.4395,1552.4395,117.34632,59.438713,43.54641,43.54641,112.1119,5.008066,852.8345,852.8345,852.8345,852.8345,0.0,0.0,212.91328,50.50826,50.50826,3129.0203,283.6673,29.295542,1648.5769,1648.5769,167.41415,48.276672,282.59503,881.0804,0.0,0.35043213,22.928864,13.753096,13.753096,1172.478,2.8071523,2.8071523,14.2892885,69.82392,69.82392,1.5745019,82.573,23.496319,4.2562943,34.100784,6.589208,36.781208,36.781208,36.781208,6.8727765,6618.897,6.8727765,1587.4097,35.306595,722.1168,24.760881,24.760881,0.0,0.0,335.67294,18.618912,18.618912,0.0,8.655797,34.100784,1.466837,1.466837,1.466837,335.67294,18.074478,105.94384,48.090164,6.104658,105.94384,207.02467,8.382976,8.382976,617.8011,360.9861,335.67294,0.5558949,10454.168,993.8308
B_c02_CD27,mild/moderate,2177.0825,3811.2866,40770.89,40770.89,65.53031,24049.334,63.673283,14.036599,0.6774384,0.6774384,1629.603,3333.7324,10482.727,3333.7324,10482.727,1879.8087,14.036599,14.036599,82.495895,5821.8364,60.389885,1379.5171,128.52304,4071.0486,4071.0486,59233.094,59233.094,59233.094,0.0,0.0,1635.401,8256.368,25145.502,3.0956798,1635.401,1635.401,25145.502,0.0,213.05583,213.05583,34.05146,170.29428,1580.1688,16334.719,0.0,1777.6743,110.99408,3095.1953,107938.945,107938.945,28936.06,28936.06,28936.06,3664.9465,1994.2509,528.015,704.1258,704.1258,36.97488,759.32715,759.32715,759.32715,759.32715,4490.6475,32.624023,32.624023,28936.06,28936.06,3620.6514,649.7861,780.61865,780.61865,1777.6743,75.67356,12032.572,12032.572,12032.572,12032.572,0.0,0.0,3811.2866,715.1274,715.1274,62292.47,7193.491,841.0343,34783.54,34783.54,3614.914,902.4804,7359.8496,11589.375,0.0,0.6774384,441.0201,544.34595,544.34595,30325.385,78.506195,78.506195,205.81818,1236.1511,1236.1511,20.598484,1879.8087,528.015,51.109573,521.71027,110.450455,658.2853,658.2853,658.2853,389.90137,126391.55,389.90137,30507.883,745.06573,12748.211,759.32715,759.32715,11.842292,11.842292,4984.2173,289.32794,289.32794,0.0,244.89915,521.71027,57.909092,57.909092,57.909092,4984.2173,404.42828,4071.0486,1614.7065,130.57355,4071.0486,4033.69,168.89716,168.89716,13948.173,5650.597,4984.2173,1.5532014,215184.08,17436.002
B_c02_CD27,severe/critical,1074.1193,1693.199,21135.133,21135.133,27.79818,12099.179,40.44927,6.5509796,3.286816,3.286816,2623.5195,3184.939,6107.02,3184.939,6107.02,592.65674,6.5509796,6.5509796,31.471004,2814.773,27.985725,501.52383,59.86193,2308.1616,2308.1616,15083.361,15083.361,15083.361,0.0,0.0,770.83234,4418.277,14068.141,0.0,770.83234,770.83234,14068.141,0.0,136.20352,136.20352,18.769619,64.31018,808.7742,7723.647,0.0,941.9213,31.67452,1382.9784,50929.7,50929.7,19403.521,19403.521,19403.521,1924.2632,513.9487,179.52643,418.29144,418.29144,8.590302,368.3848,368.3848,368.3848,368.3848,2504.0781,14.868767,14.868767,19403.521,19403.521,1801.9294,256.1736,365.6065,365.6065,941.9213,36.221046,6898.64,6898.64,6898.64,6898.64,0.0,0.0,1693.199,342.83817,342.83817,29277.236,3844.545,487.56924,14250.671,14250.671,1986.9608,441.20987,4103.628,5095.7085,0.0,3.286816,251.27357,214.91554,214.91554,13893.719,35.514793,35.514793,110.459755,652.60754,652.60754,7.0860605,592.65674,179.52643,25.75387,229.17136,50.014587,349.79263,349.79263,349.79263,71.2817,65411.754,71.2817,17210.002,350.54745,6295.315,368.3848,368.3848,2.1899517,2.1899517,2511.7844,144.9552,144.9552,0.0,79.30664,229.17136,26.002478,26.002478,26.002478,2511.7844,185.69551,2308.1616,657.41,65.02285,2308.1616,2247.8691,90.08505,90.08505,7949.891,2800.1191,2511.7844,1.1184584,94996.0,9436.046
B_c023_TNFRSF1B,control,20.45655,108.18644,635.1275,635.1275,0.94272405,575.1579,34.021633,1.2292638,0.6487912,0.6487912,50.823425,94.114265,126.0433,94.114265,126.0433,631.2132,1.2292638,1.2292638,4.6975336,300.3516,5.029471,48.95166,11.615262,24.510658,24.510658,3286.4973,3286.4973,3286.4973,0.0,0.0,580.55444,217.98285,725.8873,0.0,580.55444,580.55444,725.8873,0.0,12.930955,12.930955,1.5046103,26.811619,792.1767,296.86008,0.0,59.175888,19.980562,180.66339,3252.5896,3252.5896,798.08,798.08,798.08,124.23383,143.70226,20.335213,10.748866,10.748866,85.06288,14.776199,14.776199,14.776199,14.776199,123.69141,0.0,0.0,798.08,798.08,132.94202,102.28791,23.537403,23.537403,59.175888,0.8753024,855.0399,855.0399,855.0399,855.0399,0.0,0.0,108.18644,24.140148,24.140148,1652.3131,104.55454,17.24055,1270.6761,1270.6761,77.27531,316.80273,71.20155,1479.2068,0.0,0.6487912,17.379519,19.631996,19.631996,313.10608,2.062457,2.062457,7.6068892,36.383633,36.383633,11.556062,631.2132,20.335213,3.2009528,36.367916,1.6567712,22.53255,22.53255,22.53255,9.073493,2768.9038,9.073493,1562.0543,29.26374,392.06064,14.776199,14.776199,0.0,0.0,210.91414,20.432184,20.432184,0.0,7.9429445,36.367916,1.9931123,1.9931123,1.9931123,210.91414,27.472912,24.510658,22.10312,3.1298225,24.510658,77.464195,13.360481,13.360481,465.91824,202.99431,210.91414,0.0,6233.46,381.6985
B_c023_TNFRSF1B,mild/moderate,106.21715,388.10034,1504.369,1504.369,1.2660084,2105.482,62.077774,11.778664,4.2226343,4.2226343,200.14642,447.47372,439.6003,447.47372,439.6003,3922.077,11.778664,11.778664,12.152527,1776.4976,14.341011,300.96255,62.74127,167.2588,167.2588,11130.335,11130.335,11130.335,0.0,0.0,2416.7498,685.62726,2331.0845,0.0,2416.7498,2416.7498,2331.0845,0.0,57.19978,57.19978,5.611331,46.715714,3177.5085,1079.6133,0.0,326.41718,107.57601,511.4819,11578.2295,11578.2295,2312.9692,2312.9692,2312.9692,500.05212,949.8344,87.227394,28.495731,28.495731,548.75525,56.071266,56.071266,56.071266,56.071266,326.69437,3.7487104,3.7487104,2312.9692,2312.9692,917.91595,290.19955,177.85068,177.85068,326.41718,9.779479,1766.7373,1766.7373,1766.7373,1766.7373,0.0,0.0,388.10034,125.031334,125.031334,5207.5576,263.2181,55.11121,5183.442,5183.442,324.9164,1182.8333,223.29895,5539.7607,0.0,4.2226343,65.75052,55.61967,55.61967,1429.9874,9.756868,9.756868,42.76406,119.75045,119.75045,76.98493,3922.077,87.227394,4.6212177,181.90817,26.533783,61.52062,61.52062,61.52062,57.110195,9327.669,57.110195,5840.5317,87.42082,1498.3418,56.071266,56.071266,0.31556985,0.31556985,644.4682,82.9344,82.9344,0.0,70.0617,181.90817,7.138001,7.138001,7.138001,644.4682,107.084366,167.2588,125.94274,36.50999,167.2588,333.31845,45.268936,45.268936,1637.7233,629.7572,644.4682,0.0,21767.668,1056.506
B_c023_TNFRSF1B,severe/critical,26.596151,206.05022,986.84503,986.84503,0.6752345,1334.0676,53.604298,5.3041525,3.4492416,3.4492416,255.64659,640.8747,341.08148,640.8747,341.08148,4209.821,5.3041525,5.3041525,14.823138,1685.539,7.5230913,137.89021,45.30741,89.053406,89.053406,8338.0625,8338.0625,8338.0625,0.8738618,0.8738618,3104.4292,445.82794,1578.1837,0.0,3104.4292,3104.4292,1578.1837,0.8738618,70.65126,70.65126,2.6421604,30.02971,3009.3542,499.1832,0.0,172.34166,81.34063,390.40942,8767.403,8767.403,1845.4525,1845.4525,1845.4525,353.25848,651.5544,89.56827,24.23832,24.23832,463.42133,38.47323,38.47323,38.47323,38.47323,130.37814,5.1968904,5.1968904,1845.4525,1845.4525,660.6234,163.26988,170.70233,170.70233,172.34166,26.84213,1240.0021,1240.0021,1240.0021,1240.0021,0.0,0.0,206.05022,115.52728,115.52728,3752.7385,117.35636,43.299305,7710.69,7710.69,187.9395,818.8678,161.44508,4610.3413,0.0,3.4492416,47.988396,29.857843,29.857843,1119.7721,10.040129,10.040129,37.849785,68.14452,68.14452,115.12575,4209.821,89.56827,4.6331806,125.98042,18.496738,95.90632,95.90632,95.90632,42.680897,6255.8374,42.680897,4147.993,62.683483,1111.1876,38.47323,38.47323,0.0,0.0,535.94714,58.852444,58.852444,0.0,48.033806,125.98042,9.842945,9.842945,9.842945,535.94714,60.059345,89.053406,89.151184,30.739395,89.053406,190.71645,26.99342,26.99342,746.201,354.06702,535.94714,0.0,15851.463,624.2864
